#OTUID	per_tot	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_2045	4.545454545454546	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_2052	0.007759155803848541	Eukaryota	Chordata	Mammalia	Cetacea	Cervidae	Cervus	Cervus elaphus
ASV_2166	0.011375270162666363	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Oxylebius	Oxylebius pictus
ASV_2304	0.00373943609303717	Eukaryota	Chordata	Actinopteri	Perciformes	Liparidae	Liparis <bony fishes>	Liparis florae
ASV_2368	2.7027027027027026	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Tarletonbeania	Tarletonbeania crenularis
ASV_3055	0.04194630872483222	Eukaryota	Chordata	Actinopteri	Perciformes	Stichaeidae	Anoplarchus	unassigned
ASV_3119	0.7518796992481203	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	g_	s_
ASV_3271	0.004242681374628765	Eukaryota	Chordata	Actinopteri	unknown	Embiotocidae	Embiotoca	Embiotoca jacksoni
ASV_3418	2.0408163265306123	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Citharichthys	unassigned
ASV_3666	0.0048652330446628395	Eukaryota	Chordata	Actinopteri	Perciformes	Pholidae	unassigned	s_
ASV_3698	0.5747126436781609	Eukaryota	Chordata	Actinopteri	unknown	Embiotocidae	Brachyistius	Brachyistius frenatus
ASV_6133	3.125	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_6434	0.007164863509350148	Eukaryota	Chordata	Actinopteri	Carangiformes	Carangidae	Seriola	s_
ASV_6533	0.004242681374628765	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_7081	1.7241379310344827	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Bathylagus	Bathylagus pacificus
ASV_7384	1.8867924528301887	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Citharichthys	Citharichthys stigmaeus
ASV_33581	2.0408163265306123	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Citharichthys	s_
ASV_33583	0.014297969688304261	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Leuroglossus	Leuroglossus schmidti
ASV_33593	0.010574177857671566	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Lipolagus	s_
ASV_33612	0.010574177857671566	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Lipolagus	s_
