#OTUID	CN19Sc25_12_eDNA_JJ	CN19Sc34_12_eDNA_RR	CN19Sc34_11_eDNA_RR	CN19Sc34_9_eDNA_RR	CN19Sc34_8_eDNA_RR	CN19Sc34_7_eDNA_RR	CN19Sc34_6_eDNA_RR	CN19Sc34_4_eDNA_RR	CN19Sc03_12_eDNA_JJ	CN19Sc03_10_eDNA_JJ	CN19Sc03_9_eDNA_JJ	CN19Sc03_7_eDNA_JJ	CN19Sc03_5_eDNA_JJ	CN19Sc03_4_eDNA_JJ	CN19Sc03_3_eDNA_JJ	CN19Sc12_12_eDNA_JJ	CN19Sc12_10_eDNA_JJ	CN19Sc12_9_eDNA_JJ	CN19Sc12_7_eDNA_JJ	CN19Sc12_5_eDNA_JJ	CN19Sc12_4_eDNA_JJ	CN19Sc12_3_eDNA_JJ	CN19Sc18_12_eDNA_JJ	CN19Sc18_10_eDNA_JJ	CN19Sc18_9_eDNA_JJ	CN19Sc18_8_eDNA_JJ	CN19Sc18_7_eDNA_JJ	CN19Sc18_5_eDNA_JJ	CN19Sc18_4_eDNA_JJ	CN19Sc18_3_eDNA_JJ	CN19Sc25_10_eDNA_JJ	CN19Sc25_9_eDNA_JJ	CN19Sc25_7_eDNA_JJ	CN19Sc25_6_eDNA_JJ	CN19Sc25_5_eDNA_JJ	CN19Sc25_4_eDNA_JJ
ASV_1101	3	0	0	0	0	0	0	0	0	0	3	1	0	0	0	3	3	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	2
ASV_1121	0	0	0	0	0	0	0	0	0	8	12	11	1	2733	0	5	2	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	1	0	0	24
ASV_1162	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	3396	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_1182	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	1	8	3	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0
ASV_1202	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	16	5	19	0	0	0	0	0	0	0	0	0	0	5	0	0	0	24	0
ASV_1212	2	0	0	0	0	0	0	0	0	1574	22	15	0	1	0	5	0	0	0	0	0	35	0	0	1	0	0	0	0	0	0	0	0	0	0	23
ASV_1245	4	0	0	0	0	0	0	0	0	3	21	7	0	2	0	27	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ASV_1254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_1261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_1271	0	0	0	0	0	0	0	0	0	0	0	0	2853	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_1273	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2778	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4
ASV_1277	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	1	4	1	0	63	39	0	0	0	0	0	0	0
ASV_1298	0	0	0	0	0	0	0	0	0	0	0	0	0	2745	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1336	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	4	0	4	0	13	0	3	535	22	0	73	135	0	0	0	0	0	0	0
ASV_1340	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1369	3	0	0	0	0	0	0	0	0	1	27	21	0	1	0	17	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	40
ASV_1382	827	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	3	0	1	0	0	0
ASV_1392	0	0	0	0	0	0	0	209	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
