#OTUID	CN19Sc29_12_eDNA_RR	CN19Sc31_12_eDNA_RR	CN19Sc34_12_eDNA_RR	CN19Sc36_12_eDNA_RR	CN19Sc38_12_eDNA_RR	CN19Sc28_12_eDNA_RR	CN19Sc30_12_eDNA_RR	CN19Sc37_12_eDNA_RR	CN19Sc37_11_eDNA_RR	CN19SESPMV1_SC58_eDNA_AT	CN19Sc03_12_eDNA_JJ	CN19Sc10_12_eDNA_JJ	CN19Sc12_12_eDNA_JJ	CN19Sc15_12_eDNA_JJ	CN19Sc18_12_eDNA_JJ	CN19Sc21_12_eDNA_JJ	CN19Sc25_12_eDNA_JJ
ASV_1397	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	48	0
ASV_1400	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	3
ASV_1460	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_1487	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	1	3
ASV_1518	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
ASV_1593	0	0	0	0	0	0	0	24	0	6	0	0	0	0	0	0	0
ASV_1615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
ASV_1617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	827
ASV_1643	0	0	1	2	2096	3	1	1	3	0	0	0	0	0	0	0	0
ASV_1735	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV_1813	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_1921	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0
ASV_1936	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_2041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_2053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_2102	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
ASV_2129	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_2221	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ASV_2318	0	0	0	0	0	0	0	0	0	0	0	0	0	1120	0	0	1
ASV_2435	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2565	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2772	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV_2869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_3038	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_3251	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV_3341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_3375	0	0	0	0	0	0	0	0	0	0	0	3	0	0	6	12	2
ASV_3539	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_3631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_3705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_3927	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ASV_4121	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_4142	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0
ASV_4258	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_4330	0	0	0	0	0	0	0	0	0	0	0	336	0	3	0	0	0
ASV_4441	0	0	0	0	0	0	0	0	0	0	0	3	2	9	12	12	7
ASV_4481	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_4823	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ASV_4826	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_4994	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_5098	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5353	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_5526	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_5579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV_5932	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_6200	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
