FilterID,local_time,time_label,SAMPLING_cruise,depth,SAMPLING_platform,SC,ESP,SAMPLING_station_number,SAMPLING_station,SAMPLING_bottle,decimalLongitude,decimalLatitude,sample_type,Plates,Markers,Status,Dewar_name,Sampling_method,replicate,SAMPLING_rdepth,project_name,nitrate,fluor,density,pressure,minimumDepthInMeters,maximumDepthInMeters,start_GMT,end_GMT,temp,salinity,sigmat,spice,diss_oxygen,PAR (umol/s/m2),altitude,chlorophyll,bbp470 (count),bbp650 (count),SAMPLING_project,ESP_name,diel,month,day,hour,eventDate
CN19Sc02_06_eDNA,5/30/19 21:13,05-30 night,CN19S,60,WESTERN FLYER,,,2,MOORING1,6,-122.0185,36.7347,environmental,,,Filters (racks A-D),,CTD,,59.843,CANON,14.655,0.0483,26.0951,60.296,,,,,9.5602,33.8074,,,,,,0.7079,,,,,night,5,30,21,5/31/19 4:13
CN19Sc02_09_eDNA,5/30/19 21:13,05-30 night,CN19S,20,WESTERN FLYER,,,2,MOORING1,9,-122.0185,36.7347,environmental,,,Filters (racks A-D),,CTD,,20.189,CANON,11.414,0.1175,25.6944,20.34,,,,,11.1479,33.6451,,,,,,2.4385,,,,,night,5,30,21,5/31/19 4:13
CN19Sc02_12_astar,5/30/19 21:13,05-30 night,CN19S,0,WESTERN FLYER,,,2,MOORING1,12,-122.0185,36.7347,environmental,,,,CN19Sc02 #12-A*,CTD,,1.359,CANON,2.992,0.2775,25.3027,1.369,,,,,12.8712,33.5597,,,,,,6.4385,,,,,night,5,30,21,5/31/19 4:13
CN19Sc02_12_eDNA,5/30/19 21:13,05-30 night,CN19S,0,WESTERN FLYER,,,2,MOORING1,12,-122.0185,36.7347,environmental,"JJ,KK,LL","12S,COI,18S","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,1.359,CANON,2.992,0.2775,25.3027,1.369,,,,,12.8712,33.5597,,,,,,6.4385,,,,,night,5,30,21,5/31/19 4:13
CN19Sc02_12_hplc,5/30/19 21:13,05-30 night,CN19S,0,WESTERN FLYER,,,2,MOORING1,12,-122.0185,36.7347,environmental,,,,CN19Sc02 #12-hplc,CTD,,1.359,CANON,2.992,0.2775,25.3027,1.369,,,,,12.8712,33.5597,,,,,,6.4385,,,,,night,5,30,21,5/31/19 4:13
CN19SESPMV1_SC52_eDNA,5/30/19 22:10,05-30 night,CN19S,37.531,daphne,52,MV1,,,,-122.1854,36.7101,environmental,"AD,XX,AC,YY,AE","12S,COI,12S,COI,18S",Tube Extracts (racks E-G),,ESP,,,,,,,,33.8312,41.2309,5/31/19 5:10,5/31/19 5:57,10.4377,33.5555,25.7502,0.072,5781.5903,0.2612,856.7247,0.2512,77.4135,66.3559,CANON,,night,5,30,22,5/31/19 5:10
CN19Sc03_10_eDNA,5/30/19 23:12,05-30 night,CN19S,40,WESTERN FLYER,,,3,MARS,10,-122.1972,36.7203,environmental,"JJ,KK,LL","12S,COI,18S","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,40.142,CANON,18.74,0.0391,25.7698,40.444,,,,,10.3123,33.5529,,,,,,0.4768,,,,,night,5,30,23,5/31/19 6:12
CN19Sc03_09_eDNA,5/30/19 23:12,05-30 night,CN19S,80,WESTERN FLYER,,,3,MARS,9,-122.1972,36.7203,environmental,"JJ,KK,LL","12S,COI,18S","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,80.528,CANON,25.593,0.0333,26.174,81.142,,,,,9.3859,33.8715,,,,,,0.331,,,,,night,5,30,23,5/31/19 6:12
CN19Sc03_07_eDNA,5/30/19 23:12,05-30 night,CN19S,150,WESTERN FLYER,,,3,MARS,7,-122.1972,36.7203,environmental,"JJ,KK,LL","12S,COI,18S","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,149.85,CANON,29.195,0.0331,26.4123,151.018,,,,,8.5976,34.0151,,,,,,0.3273,,,,,night,5,30,23,5/31/19 6:12
CN19Sc03_05_eDNA,5/30/19 23:12,05-30 night,CN19S,250,WESTERN FLYER,,,3,MARS,5,-122.1972,36.7203,environmental,"JJ,KK,LL","12S,COI,18S","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,249.115,CANON,33.498,0.0345,26.6529,251.117,,,,,7.4106,34.0962,,,,,,0.3622,,,,,night,5,30,23,5/31/19 6:12
CN19Sc03_04_eDNA,5/30/19 23:12,05-30 night,CN19S,300,WESTERN FLYER,,,3,MARS,4,-122.1972,36.7203,environmental,"JJ,KK,LL","12S,COI,18S","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,300.149,CANON,35.399,0.0336,26.713,302.599,,,,,7.1294,34.1217,,,,,,0.3398,,,,,night,5,30,23,5/31/19 6:12
CN19Sc03_03_eDNA,5/30/19 23:12,05-30 night,CN19S,400,WESTERN FLYER,,,3,MARS,3,-122.1972,36.7203,environmental,"JJ,KK,LL","12S,COI,18S","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,399.762,CANON,37.979,0.0339,26.8703,403.122,,,,,6.3242,34.1831,,,,,,0.346,,,,,night,5,30,23,5/31/19 6:12
CN19Sc03_12_eDNA,5/30/19 23:12,05-30 night,CN19S,0,WESTERN FLYER,,,3,MARS,12,-122.1972,36.7203,environmental,"JJ,KK,LL","12S,COI,18S","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,1.266,CANON,6.177,0.1053,25.1581,1.275,,,,,12.3844,33.2512,,,,,,2.1332,,,,,night,5,30,23,5/31/19 6:12
CN19Sc03_01_eDNA,5/30/19 23:12,05-30 night,CN19S,600,WESTERN FLYER,,,3,MARS,1,-122.1972,36.7203,environmental,"JJ,KK,LL","12S,COI,18S","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,600.361,CANON,40.595,0.0358,27.0533,605.703,,,,,5.497,34.2816,,,,,,0.3952,,,,,night,5,30,23,5/31/19 6:12
CN19SESPMV1_SC51_eDNA,5/30/19 23:27,05-30 night,CN19S,212.4281,daphne,51,MV1,,,,-122.1813,36.7053,environmental,"AD,XX,AC,YY,AE","12S,COI,12S,COI,18S",Tube Extracts (racks E-G),,ESP,,,,,,,,208.8711,215.985,5/31/19 6:27,5/31/19 7:12,7.9246,34.0606,26.5504,0.0643,2741.8704,0.2708,718.6874,0.125,76.4842,65.1178,CANON,,night,5,30,23,5/31/19 6:27
CN19Sc04_03_eDNA,5/31/19 1:25,05-31 night,CN19S,150,WESTERN FLYER,,,4,MOORING2,3,-122.3777,36.697,environmental,,,Filters (racks A-D),,CTD,,149.966,CANON,26.517,0.0338,26.3148,151.135,,,,,8.8822,33.9471,,,,,,0.3435,,,,,night,5,31,1,5/31/19 8:25
CN19Sc04_04_eDNA,5/31/19 1:25,05-31 night,CN19S,100,WESTERN FLYER,,,4,MOORING2,4,-122.3777,36.697,environmental,,,Filters (racks A-D),,CTD,,99.519,CANON,24.182,0.0334,26.0744,100.282,,,,,9.7263,33.8151,,,,,,0.3354,,,,,night,5,31,1,5/31/19 8:25
CN19Sc04_06_eDNA,5/31/19 1:25,05-31 night,CN19S,60,WESTERN FLYER,,,4,MOORING2,6,-122.3777,36.697,environmental,,,Filters (racks A-D),,CTD,,60.757,CANON,16.681,0.0403,25.708,61.217,,,,,10.8329,33.5892,,,,,,0.5085,,,,,night,5,31,1,5/31/19 8:25
CN19Sc04_09_eDNA,5/31/19 1:25,05-31 night,CN19S,20,WESTERN FLYER,,,4,MOORING2,9,-122.3777,36.697,environmental,,,Filters (racks A-D),,CTD,,19.841,CANON,0.213,0.151,24.7867,19.989,,,,,13.3764,33.0222,,,,,,3.2758,,,,,night,5,31,1,5/31/19 8:25
CN19Sc04_12_astar,5/31/19 1:25,05-31 night,CN19S,0,WESTERN FLYER,,,4,MOORING2,12,-122.3777,36.697,environmental,,,,CN19Sc04 #12-A*,CTD,,1.588,CANON,0.222,0.1487,24.7872,1.6,,,,,13.3716,33.0223,,,,,,3.216,,,,,night,5,31,1,5/31/19 8:25
CN19Sc04_12_eDNA,5/31/19 1:25,05-31 night,CN19S,0,WESTERN FLYER,,,4,MOORING2,12,-122.3777,36.697,environmental,"JJ,KK,LL","12S,COI,18S","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,1.588,CANON,0.222,0.1487,24.7872,1.6,,,,,13.3716,33.0223,,,,,,3.216,,,,,night,5,31,1,5/31/19 8:25
CN19Sc04_12_hplc,5/31/19 1:25,05-31 night,CN19S,0,WESTERN FLYER,,,4,MOORING2,12,-122.3777,36.697,environmental,,,,CN19Sc04 #12-hplc,CTD,,1.588,CANON,0.222,0.1487,24.7872,1.6,,,,,13.3716,33.0223,,,,,,3.216,,,,,night,5,31,1,5/31/19 8:25
CN19Sc05_10_eDNA,5/31/19 4:04,05-31 night,CN19S,10,WESTERN FLYER,,,5,1F,10,-122.5873,36.7333,environmental,,,Filters (racks A-D),,CTD,,10.684,CANON,0.122,0.0595,24.6991,10.764,,,,,14.4347,33.1914,,,,,,0.987,,,,,night,5,31,4,5/31/19 11:04
CN19Sc05_12_eDNA,5/31/19 4:04,05-31 night,CN19S,0,WESTERN FLYER,,,5,1F,12,-122.5873,36.7333,environmental,,,Filters (racks A-D),,CTD,,2.481,CANON,0.026,0.0607,24.6993,2.499,,,,,14.433,33.1915,,,,,,1.0176,,,,,night,5,31,4,5/31/19 11:04
CN19Sc05_05_eDNA,5/31/19 4:04,05-31 night,CN19S,80,WESTERN FLYER,,,5,1F,5,-122.5873,36.7333,environmental,,,Filters (racks A-D),,CTD,,81.279,CANON,19.326,0.0369,25.866,81.899,,,,,10.2931,33.6709,,,,,,0.4226,,,,,night,5,31,4,5/31/19 11:04
CN19Sc05_08_eDNA,5/31/19 4:04,05-31 night,CN19S,30,WESTERN FLYER,,,5,1F,8,-122.5873,36.7333,environmental,,,Filters (racks A-D),,CTD,,30.384,CANON,0.225,0.0598,24.6984,30.612,,,,,14.4348,33.1897,,,,,,0.9957,,,,,night,5,31,4,5/31/19 11:04
