sample_name,extraction_date,water_filt_mL,DNA_concentration_ng_uL,measurement_method
CN19Sc31_12_eDNA_RR,20191120,1000,58.10,nanodrop
CN19Sc31_3_eDNA_RR,20191126,1000,2.10,nanodrop
CN19Sc31_4_eDNA_RR,20191126,1000,3.20,nanodrop
CN19Sc31_5_eDNA_RR,20191126,1000,5.90,nanodrop
CN19Sc31_6_eDNA_RR,20191126,1000,7.90,nanodrop
CN19Sc31_7_eDNA_RR,20191120,1000,9.80,nanodrop
CN19Sc31_8_eDNA_RR,20191120,1000,11.00,nanodrop
CN19Sc31_9_eDNA_RR,20191120,1000,9.90,nanodrop
CN19Sc32_02_eDNA_BT,20210224,1000,7.47,qubit
CN19Sc32_05_eDNA_BT,20210224,1000,10.89,qubit
CN19Sc34_1_eDNA_RR,20191203,1000,-1.30,nanodrop
CN19Sc34_11_eDNA_RR,20191126,1000,17.30,nanodrop
CN19Sc34_12_eDNA_RR,20191126,1000,45.80,nanodrop
CN19Sc34_2_eDNA_RR,20191203,1000,-1.10,nanodrop
CN19Sc34_4_eDNA_RR,20191126,1000,4.00,nanodrop
CN19Sc34_6_eDNA_RR,20191126,1000,8.50,nanodrop
CN19Sc34_7_eDNA_RR,20191126,1000,9.40,nanodrop
CN19Sc34_8_eDNA_RR,20191126,1000,10.70,nanodrop
CN19Sc34_9_eDNA_RR,20191126,1000,10.70,nanodrop
CN19Sc35_09_eDNA_BT,20210224,1000,8.20,qubit
CN19Sc36_1_eDNA_RR,20191203,1000,-0.30,nanodrop
CN19Sc36_11_eDNA_RR,20191203,1000,14.00,nanodrop
CN19Sc36_12_eDNA_RR,20191203,1000,76.70,nanodrop
CN19Sc36_2_eDNA_RR,20191203,1000,-0.10,nanodrop
CN19Sc36_4_eDNA_RR,20191203,1000,1.90,nanodrop
CN19Sc36_6_eDNA_RR,20191203,1000,5.50,nanodrop
CN19Sc36_7_eDNA_RR,20191203,1000,6.30,nanodrop
CN19Sc36_8_eDNA_RR,20191203,1000,7.20,nanodrop
CN19Sc36_9_eDNA_RR,20191203,1000,6.60,nanodrop
CN19Sc37_1_eDNA_RR,20191212,1000,5.70,nanodrop
CN19Sc37_10_eDNA_RR,20191212,1000,19.50,nanodrop
CN19Sc37_11_eDNA_RR,20191212,1000,44.60,nanodrop
