"","SampleID","PC1","PC2","PC3","FilterID","target_gene","PlateID","library","local_time","time_label","SAMPLING_cruise","depth","SAMPLING_platform","SC","ESP","SAMPLING_station_number","SAMPLING_station","SAMPLING_bottle","decimalLongitude","decimalLatitude","sample_type","Plates","Markers","Status","Dewar_name","Sampling_method","replicate","SAMPLING_rdepth","project_name","nitrate","fluor","density","pressure","minimumDepthInMeters","maximumDepthInMeters","start_GMT","end_GMT","temp","salinity","sigmat","spice","diss_oxygen","PAR (umol/s/m2)","altitude","chlorophyll","bbp470 (count)","bbp650 (count)","SAMPLING_project","ESP_name","diel","month","day","hour","eventDate","time","time_since","year","jday","month_char","year_char","depth_bin"
"21","CN19Sc34_4_eDNA_RR",0.0886555788121579,0.070828469484595,0.0202142301250259,"CN19Sc34_04_eDNA",12,"RR","RR33","6/4/19 0:07","06-04 night","CN19S",400,"WESTERN FLYER",NA,"CTD",34,"MARS",4,-122.1988,36.7125,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,399.492,"CANON",38.189,0.0365,26.8261,402.85,NA,NA,NA,NA,6.5574,34.1657,NA,NA,NA,NA,NA,0.4121,NA,NA,NA,NA,"night",6,4,0,2019-06-04 07:07:00,2019-06-04 00:07:00,1559606820,2019,155,"6","2019","300-400m"
"22","CN19Sc36_11_eDNA_RR",0.0657328795410673,-0.165267448269484,0.100938504058032,"CN19Sc36_11_eDNA",12,"RR","RR37","6/4/19 6:04","06-04 transition","CN19S",35,"WESTERN FLYER",NA,"CTD",36,"MARS",11,-122.1982,36.712,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,35.238,"CANON",16.253,0.0431,25.585,35.502,NA,NA,NA,NA,10.8735,33.4413,NA,NA,NA,NA,NA,0.5771,NA,NA,NA,NA,"transition",6,4,6,2019-06-04 13:04:00,2019-06-04 06:04:00,1559628240,2019,155,"6","2019","0-50m"
"23","CN19Sc36_8_eDNA_RR",0.109308484362473,0.0341319253169083,-0.0745127787393895,"CN19Sc36_08_eDNA",12,"RR","RR39","6/4/19 6:04","06-04 transition","CN19S",125,"WESTERN FLYER",NA,"CTD",36,"MARS",8,-122.1982,36.712,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,125.929,"CANON",27.092,0.0358,26.3466,126.903,NA,NA,NA,NA,8.7886,33.9695,NA,NA,NA,NA,NA,0.3964,NA,NA,NA,NA,"transition",6,4,6,2019-06-04 13:04:00,2019-06-04 06:04:00,1559628240,2019,155,"6","2019","100-200m"
"24","CN19Sc36_7_eDNA_RR",-0.0620826420272968,0.0330148433712277,-0.0410707327605614,"CN19Sc36_07_eDNA",12,"RR","RR40","6/4/19 6:04","06-04 transition","CN19S",200,"WESTERN FLYER",NA,"CTD",36,"MARS",7,-122.1982,36.712,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,200.303,"CANON",31.821,0.0357,26.5309,201.888,NA,NA,NA,NA,8.0787,34.0651,NA,NA,NA,NA,NA,0.3939,NA,NA,NA,NA,"transition",6,4,6,2019-06-04 13:04:00,2019-06-04 06:04:00,1559628240,2019,155,"6","2019","100-200m"
"25","CN19Sc36_6_eDNA_RR",-0.11820504267363,-0.04864270938825,-0.0211771233651813,"CN19Sc36_06_eDNA",12,"RR","RR41","6/4/19 6:04","06-04 transition","CN19S",250,"WESTERN FLYER",NA,"CTD",36,"MARS",6,-122.1982,36.712,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,250.251,"CANON",32.584,0.0336,26.6221,252.263,NA,NA,NA,NA,7.6641,34.1029,NA,NA,NA,NA,NA,0.3404,NA,NA,NA,NA,"transition",6,4,6,2019-06-04 13:04:00,2019-06-04 06:04:00,1559628240,2019,155,"6","2019","200-300m"
"26","CN19Sc36_4_eDNA_RR",0.0232809876246326,0.118177123679941,-0.0832045705466567,"CN19Sc36_04_eDNA",12,"RR","RR42","6/4/19 6:04","06-04 transition","CN19S",400,"WESTERN FLYER",NA,"CTD",36,"MARS",4,-122.1982,36.712,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,400.366,"CANON",31.634,0.0367,26.8246,403.733,NA,NA,NA,NA,6.5921,34.1696,NA,NA,NA,NA,NA,0.4183,NA,NA,NA,NA,"transition",6,4,6,2019-06-04 13:04:00,2019-06-04 06:04:00,1559628240,2019,155,"6","2019","300-400m"
"27","CN19Sc38_11_eDNA_RR",0.131163384991128,-0.127226033048067,0.0104199291355071,"CN19Sc38_11_eDNA",12,"RR","RR46","6/4/19 12:05","06-04 day","CN19S",50,"WESTERN FLYER",NA,"CTD",38,"MARS",11,-122.198,36.712,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,49.876,"CANON",22.123,0.0372,25.9617,50.253,NA,NA,NA,NA,9.8764,33.704,NA,NA,NA,NA,NA,0.4301,NA,NA,NA,NA,"day",6,4,12,2019-06-04 19:05:00,2019-06-04 12:05:00,1559649900,2019,155,"6","2019","0-50m"
"28","CN19Sc38_10_eDNA_RR",0.08510015849111,0.0977528310403843,-0.0788167446148439,"CN19Sc38_10_eDNA",12,"RR","RR47","6/4/19 12:05","06-04 day","CN19S",75,"WESTERN FLYER",NA,"CTD",38,"MARS",10,-122.198,36.712,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,75.282,"CANON",24.62,0.0366,26.1265,75.855,NA,NA,NA,NA,9.4603,33.8265,NA,NA,NA,NA,NA,0.4158,NA,NA,NA,NA,"day",6,4,12,2019-06-04 19:05:00,2019-06-04 12:05:00,1559649900,2019,155,"6","2019","50-100m"
"29","CN19Sc38_8_eDNA_RR",0.108645485715161,-0.117042272300712,-0.0184014679329118,"CN19Sc38_08_eDNA",12,"RR","RR49","6/4/19 12:05","06-04 day","CN19S",130,"WESTERN FLYER",NA,"CTD",38,"MARS",8,-122.198,36.712,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,130.041,"CANON",27.418,0.0369,26.3244,131.048,NA,NA,NA,NA,8.8753,33.9585,NA,NA,NA,NA,NA,0.4226,NA,NA,NA,NA,"day",6,4,12,2019-06-04 19:05:00,2019-06-04 12:05:00,1559649900,2019,155,"6","2019","100-200m"
"30","CN19Sc38_7_eDNA_RR",-0.124291690222763,-0.000440047155354012,0.117899257028916,"CN19Sc38_07_eDNA",12,"RR","RR50","6/4/19 12:05","06-04 day","CN19S",200,"WESTERN FLYER",NA,"CTD",38,"MARS",7,-122.198,36.712,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,199.829,"CANON",26.077,0.0354,26.5103,201.41,NA,NA,NA,NA,8.1513,34.0527,NA,NA,NA,NA,NA,0.3852,NA,NA,NA,NA,"day",6,4,12,2019-06-04 19:05:00,2019-06-04 12:05:00,1559649900,2019,155,"6","2019","100-200m"
